cd_sistema,cd_central,cd_cooperativa,ano,mes,nota_sobras_ou_perdas_sobre_recursos_totais,nota_inadimplencia,nota_liquidez_na_central,nota_adto_depositante,nota_custo_fixo_sobre_total_recursos,nota_tarifas_sobre_custo_fixo,nota_honorarios_e_cedula_sobre_custo_fixo,nota_folha_encargos_sobre_total_recursos,nota_receita_financeira_sobre_total_recursos,nota_retorno_carteira_de_credito,nota_despesas_financeiras_sobre_recursos_captados,nota_despesas_captacao_sobre_dep_prazo,nota_resultado_PCLD_sobre_despesas_totais_mes,nota_resultado_PCLD_sobre_total_recursos,nota_liquidez_geral,nota_participacao_capital_proprio,nota_rentabilidade_sobras_sobre_receitas_brutas,nota_rentabilidade_sobre_capital_proprio,nota_evolucao_quadro_social,nota_limite_exposicao_por_cliente,nota_concentacao_carteira_credito,nota_enquadramento_PRE,nota_concentracao_depositos,nota_imobilizacao_capital_proprio,nota_evolucao_patrimonial,alerta_sobras_ou_perdas_sobre_recursos_totais,alerta_inadimplencia,alerta_liquidez_na_central,alerta_adto_depositante,alerta_custo_fixo_sobre_total_recursos,alerta_tarifas_sobre_custo_fixo,alerta_honorarios_e_cedula_sobre_custo_fixo,alerta_folha_encargos_sobre_total_recursos,alerta_receita_financeira_sobre_total_recursos,alerta_retorno_carteira_de_credito,alerta_despesas_financeiras_sobre_recursos_captados,alerta_despesas_captacao_sobre_dep_prazo,alerta_resultado_PCLD_sobre_despesas_totais_mes,alerta_resultado_PCLD_sobre_total_recursos,alerta_liquidez_geral,alerta_participacao_capital_proprio,alerta_rentabilidade_sobras_sobre_receitas_brutas,alerta_rentabilidade_sobre_capital_proprio,alerta_evolucao_quadro_social,alerta_limite_exposicao_por_cliente,alerta_concentacao_carteira_credito,alerta_enquadramento_PRE,alerta_concentracao_depositos,alerta_imobilizacao_capital_proprio,alerta_evolucao_patrimonial,total,nu_justificativa,nu_plano,tx_justificativa,tx_plano,st_justificativa,st_plano
1,7,2,2010,9,2,1,1,1,1,4,2,1,3,4,4,4,1,2,1,1,1,3,4,2,4,1,1,1,2,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,52,13,9,,,0,0
1,7,2,2010,5,3,1,1,1,1,4,3,1,4,4,4,4,3,3,1,1,3,4,1,2,4,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,57,9,9,,,0,0
1,7,2,2010,6,3,1,1,1,1,4,3,1,4,4,4,4,4,4,1,1,3,4,1,2,4,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,59,10,9,,,0,0
1,7,2,2010,7,1,1,1,4,1,4,2,1,3,4,4,4,4,4,1,1,1,1,1,3,4,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,54,11,9,,,0,0
1,7,3,2009,9,2,4,3,4,4,1,4,4,2,2,2,3,1,4,3,2,4,4,1,4,4,4,4,4,4,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,78,0,9,,,0,0
1,7,3,2009,10,2,4,3,4,4,1,4,4,2,2,2,3,1,4,3,1,4,4,1,4,4,4,4,4,4,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,77,0,9,,,0,0
1,7,3,2009,11,2,4,3,4,4,1,4,4,2,2,2,3,2,4,3,1,4,4,1,4,4,4,4,4,4,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,78,0,9,,,0,0
1,7,3,2009,12,2,4,4,4,4,1,4,4,2,1,4,4,1,4,3,1,3,4,4,4,4,4,4,4,4,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,82,0,9,,,0,0
1,7,3,2010,1,3,6,3,0,4,0,4,4,2,2,3,3,2,4,5,1,4,4,2,4,4,6,4,4,4,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,82,0,9,,,0,0
1,7,3,2010,2,3,6,3,0,4,0,4,4,2,2,3,3,3,4,5,1,4,4,4,4,4,6,4,4,4,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85,0,9,,,0,0
1,7,3,2010,3,3,6,3,0,4,0,3,4,2,2,4,2,1,4,5,1,4,4,4,4,4,6,4,4,4,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,82,0,9,,,0,0
1,7,3,2010,4,3,6,3,0,4,0,4,4,2,2,4,4,1,4,5,1,4,4,4,4,4,6,4,4,4,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,85,0,9,,,0,0
1,7,3,2010,5,3,6,3,0,4,0,4,4,2,2,4,4,1,3,5,1,4,4,4,4,4,6,4,4,4,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,84,0,9,,,0,0
1,7,3,2010,6,2,6,3,0,4,0,4,4,2,2,4,4,4,3,5,1,1,1,4,4,4,6,4,4,4,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,79,0,9,,,0,0
1,7,3,2010,7,3,6,3,0,4,0,4,4,2,3,4,4,3,4,5,1,3,4,1,4,4,6,4,4,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,84,0,9,,,0,0
1,7,4,2009,9,3,4,2,3,3,3,4,4,3,3,4,3,4,4,4,2,4,4,1,4,4,4,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,82,0,9,,,0,0
1,7,4,2009,10,3,4,4,3,3,3,4,4,3,3,3,3,3,4,4,2,4,4,1,4,4,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,82,0,9,,,0,0
1,7,4,2009,11,3,4,2,2,3,3,3,4,3,3,4,3,3,4,4,2,4,4,3,4,4,4,3,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,0,9,,,0,0
1,7,4,2009,12,3,4,2,3,3,3,3,4,2,3,4,3,4,4,4,2,4,4,4,4,4,4,3,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,0,9,,,0,0
1,7,4,2010,1,3,4,4,3,3,4,3,4,2,3,4,3,4,4,4,2,4,4,1,4,4,4,3,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,86,0,9,,,0,0
1,7,4,2010,2,2,4,3,3,3,3,4,4,2,2,4,3,3,4,4,2,4,3,4,4,4,4,3,4,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,0,9,,,0,0
1,7,4,2010,3,3,4,2,3,3,3,3,4,3,3,4,3,2,4,4,2,4,4,4,4,4,4,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,82,0,9,,,0,0
1,7,4,2010,4,3,4,2,2,3,3,3,4,3,3,4,3,4,4,4,2,4,4,4,4,4,4,3,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,0,9,,,0,0
1,7,4,2010,5,3,4,3,2,3,3,3,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88,0,9,,,0,0
1,7,4,2010,6,2,4,3,2,3,3,3,4,2,3,4,3,4,4,4,2,4,4,4,4,4,4,3,3,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,0,9,,,0,0
1,7,4,2010,7,2,4,4,3,3,3,3,4,2,3,4,3,4,4,4,2,4,4,1,4,4,4,3,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,83,0,9,,,0,0
1,7,5,2009,9,4,4,4,4,3,1,1,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,86,0,9,,,0,0
1,7,5,2009,10,4,4,4,4,3,1,2,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,87,0,9,,,0,0
1,7,5,2009,11,4,4,4,4,3,1,1,4,4,4,3,4,3,4,4,4,4,4,1,4,4,4,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,85,0,9,,,0,0
1,7,5,2009,12,4,4,4,4,3,1,1,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,88,0,9,,,0,0
1,7,5,2010,1,6,6,4,0,3,0,1,4,4,4,4,4,3,4,6,4,4,4,1,4,4,6,1,4,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,89,0,9,,,0,0
1,7,5,2010,2,6,6,4,0,3,0,1,4,4,4,4,4,4,4,6,4,4,4,1,4,4,6,1,4,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,90,0,9,,,0,0
1,7,5,2010,3,6,6,4,0,4,0,1,4,4,4,4,4,4,4,6,4,4,4,2,4,4,6,1,4,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,92,0,9,,,0,0
1,7,5,2010,4,6,6,4,0,3,0,1,4,4,4,3,4,4,4,6,4,4,4,3,4,4,6,1,4,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,0,9,,,0,0
1,7,5,2010,5,6,6,4,0,3,0,1,4,4,4,3,4,4,4,6,4,4,4,1,4,4,6,1,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,86,0,9,,,0,0
1,7,5,2010,6,5,6,4,0,3,0,1,4,4,4,3,3,4,4,6,4,4,4,1,4,4,6,2,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,85,0,9,,,0,0
1,7,5,2010,7,5,6,4,0,3,0,1,4,4,4,4,4,4,4,6,4,4,4,1,4,4,6,1,4,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,89,0,9,,,0,0
1,7,6,2009,9,2,4,2,3,1,2,4,2,3,4,4,4,4,4,4,2,3,3,4,2,4,4,1,3,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,77,0,9,,,0,0
1,7,6,2009,10,2,4,3,2,1,2,4,2,4,4,4,3,2,4,4,2,3,3,4,2,4,4,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,72,1,9,,,0,0
1,7,6,2009,11,2,4,1,2,2,2,4,2,3,4,4,3,4,4,4,2,3,3,4,2,4,4,1,3,4,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,75,0,9,,,0,0
1,7,6,2009,12,2,3,4,2,1,2,4,3,3,4,4,4,4,4,4,2,2,3,4,2,4,4,1,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,74,1,9,,,0,0
1,7,6,2010,1,2,3,3,1,2,2,3,2,3,3,4,3,1,3,3,2,2,3,1,2,4,4,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,61,2,9,,,0,0
1,7,6,2010,2,3,3,3,1,1,1,4,1,2,3,4,4,4,4,4,2,4,4,3,2,4,4,1,3,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,70,3,9,,,0,0
1,7,6,2010,3,2,3,3,1,1,2,4,2,4,4,4,3,1,3,4,2,2,2,4,2,4,4,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,66,4,9,,,0,0
1,7,6,2010,4,2,2,2,1,2,2,2,2,3,3,4,3,1,2,4,2,3,3,4,2,4,4,1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,62,5,9,,,0,0
1,7,6,2010,5,1,2,2,1,1,3,3,1,3,4,4,3,4,4,4,2,1,1,4,2,4,4,1,2,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,65,6,9,,,0,0
1,7,6,2010,6,1,3,2,1,1,3,3,2,4,3,4,3,4,4,4,2,1,1,4,2,4,4,1,2,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,64,7,9,,,0,0
1,7,6,2010,7,2,3,2,4,1,2,3,2,3,4,3,3,4,4,3,2,2,2,2,2,4,4,1,2,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,68,8,9,,,0,0
1,7,7,2009,9,4,1,4,1,1,2,3,1,4,4,4,4,4,4,4,2,4,4,1,2,4,4,4,3,4,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,77,0,9,,,0,0
1,7,7,2009,10,4,1,4,1,1,1,2,1,4,4,4,4,4,4,4,2,4,4,1,2,4,4,4,3,2,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,73,1,9,,,0,0
1,7,7,2009,11,1,1,4,1,1,1,3,1,4,1,3,4,1,1,4,2,1,1,1,1,4,4,4,3,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,53,2,9,,,0,0
1,7,7,2009,12,4,1,3,1,1,1,2,1,4,4,4,4,4,4,4,2,4,4,1,1,4,4,4,3,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,70,3,9,,,0,0
1,7,7,2010,1,1,1,4,1,1,1,2,1,4,4,4,4,2,2,3,2,1,1,2,1,4,4,4,3,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,58,4,9,,,0,0
1,7,7,2010,2,1,1,4,1,1,1,2,1,4,1,4,4,1,1,4,2,1,1,1,1,4,4,4,3,3,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,55,5,9,,,0,0
1,7,7,2010,3,1,1,2,1,1,1,2,1,4,1,4,4,1,1,3,2,1,1,1,1,4,4,4,3,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,50,6,9,,,0,0
1,7,7,2010,4,1,1,2,1,1,1,2,1,4,4,4,4,4,4,3,2,1,1,1,1,4,4,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,58,7,9,,,0,0
1,7,7,2010,5,1,1,2,1,1,1,2,1,4,1,3,4,1,1,3,2,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,47,8,9,,,0,0
1,7,7,2010,6,1,1,2,1,1,1,2,1,4,1,3,4,1,1,3,2,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,47,9,9,,,0,0
1,7,7,2010,7,1,1,2,1,1,1,3,1,4,1,2,4,1,1,2,1,1,1,1,1,4,3,4,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,44,10,9,,,0,0
1,7,8,2009,9,3,2,4,1,2,2,4,2,4,4,4,2,2,4,4,2,4,4,4,4,4,4,3,4,4,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,81,0,9,,,0,0
1,7,8,2009,10,3,4,4,1,2,2,4,3,4,4,4,2,2,4,4,2,4,4,4,4,4,4,3,4,4,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,84,0,9,,,0,0
1,7,8,2009,11,3,4,4,1,2,2,4,3,4,4,4,2,4,4,4,2,4,4,4,4,4,4,3,4,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,84,0,9,,,0,0
1,7,8,2009,12,3,3,4,1,2,2,4,2,4,4,4,2,1,2,4,2,4,4,4,4,4,4,3,4,4,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,79,0,9,,,0,0
1,7,8,2010,1,3,3,4,2,2,2,4,3,4,4,4,3,1,3,4,2,4,4,2,4,4,4,3,4,4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,81,0,9,,,0,0
1,7,8,2010,2,3,3,4,1,2,2,4,3,4,4,4,3,2,4,4,2,4,4,2,4,4,4,3,4,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,80,0,9,,,0,0
1,7,8,2010,3,3,3,4,3,2,2,4,3,4,4,4,3,1,2,4,2,4,4,4,3,4,4,3,4,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,79,0,9,,,0,0
1,7,8,2010,4,3,3,3,3,1,2,4,3,4,4,4,3,1,2,4,2,4,4,4,3,4,4,3,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,80,0,9,,,0,0
1,7,8,2010,5,4,4,2,3,3,2,4,3,4,4,4,3,1,3,4,2,4,4,4,3,4,4,3,3,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,83,0,9,,,0,0
1,7,8,2010,6,4,4,2,3,2,2,4,2,4,4,4,3,3,4,4,2,4,4,4,3,4,4,3,4,4,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85,0,9,,,0,0
1,7,8,2010,7,3,3,3,4,2,2,4,2,4,4,1,3,2,4,4,2,4,4,4,3,4,4,3,4,4,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,81,0,9,,,0,0
1,7,9,2009,9,2,1,4,3,2,4,3,3,3,4,4,4,1,3,3,1,4,4,4,3,3,4,2,3,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,76,0,9,,,0,0
1,7,9,2009,10,3,1,4,3,3,4,2,4,2,3,4,3,3,4,3,1,4,4,4,3,3,4,2,3,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,78,0,9,,,0,0
1,7,9,2009,11,2,2,4,3,3,4,3,4,2,1,4,3,1,4,2,1,4,4,4,2,3,4,2,3,4,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,73,1,9,,,0,0
1,7,9,2009,12,2,2,4,3,2,4,2,4,2,3,4,3,4,4,3,1,4,4,4,1,3,4,1,3,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,72,2,9,,,0,0
1,7,9,2010,1,2,2,4,2,3,4,3,4,2,3,4,3,4,4,3,1,3,4,4,1,3,4,2,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,73,3,9,,,0,0
1,7,9,2010,2,2,2,4,2,3,4,2,4,2,2,4,4,4,4,3,1,3,4,4,1,3,4,2,3,4,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,75,0,9,,,0,0
1,7,9,2010,3,2,2,4,1,2,4,3,4,3,3,4,4,3,4,3,1,3,4,4,1,3,4,2,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,72,1,9,,,0,0
1,7,9,2010,4,2,2,4,1,2,4,2,4,2,3,4,4,3,4,3,1,3,4,4,2,3,4,2,3,4,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,74,2,9,,,0,0
1,7,9,2010,5,2,2,4,1,2,3,3,4,2,3,4,3,4,4,2,1,3,3,4,2,3,4,2,3,4,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,72,3,9,,,0,0
